id,crew_id,movie_id
568,1392901,2024
569,1392901,855
570,1392901,2501
571,1392901,11036
572,1409831,949
573,1409831,9361
574,1409831,2118
575,1409831,65
576,1409831,1538
577,1409831,11322
578,21118,949
579,21118,581
580,21118,2756
581,21118,2118
582,21118,881
583,21118,9799
584,21118,1640
585,1412205,949
586,1412205,9361
587,1412205,1955
588,1412205,1538
589,1403479,949
590,1403479,2118
591,1403479,161
592,1403479,163
593,1403479,7551
594,1403479,107846
595,1403479,245891
596,1403479,324552
597,1403479,339403
598,1347763,949
599,1415635,949
600,1415635,558
601,1415635,7350
602,1406905,949
603,75002,949
604,75002,792
605,60592,949
606,1433743,949
607,1433743,10501
608,1433743,7299
609,1433743,1538
610,1405208,949
611,1432026,949
612,1401687,949
613,1401687,754
614,1401687,10501
615,1401687,640
616,1401687,809
617,1401687,1372
618,1401687,1571
619,1401687,7191
620,1401687,75780
621,1401687,318846
622,16177,949
623,16177,812
624,16177,562
625,16177,18
626,16177,297
627,16177,272
628,16177,10201
629,16177,50646
630,16177,61791
631,16177,22970
632,16177,70981
633,16177,76170
634,16177,80274
635,16177,127585
636,16177,198663
637,16177,294254
638,1368864,949
639,1368864,9361
640,1368864,18
641,1368864,297
642,1368864,453
643,1368864,924
644,1368864,13804
645,1368864,20504
646,1338976,949
647,1338976,754
648,1338976,10501
649,1338976,644
650,1338976,180
651,1338976,640
652,1338976,1372
653,1338976,1571
654,1338976,7191
655,1338976,49444
656,1338976,54138
657,1338976,203833
658,1338976,222935
659,1338976,228970
660,1338976,140607
661,1338976,238713
662,1338976,259316
663,1338976,296098
664,1338976,313369
665,1338976,381284
666,1544638,949
667,1544638,297
668,1544638,65
669,1576553,949
670,1457709,949
671,1576562,949
672,639,949
673,944682,949
674,944682,1538
675,376,949
676,376,114
677,376,68
678,376,311
679,376,2118
680,376,1813
681,376,550
682,376,37094
683,376,9509
684,376,787
685,376,14306
686,376,76203
687,376,194662
688,376,210577
689,376,281957
690,376,318846
691,1494667,949
692,1494667,1578
693,212137,949
694,212137,1538
695,1535952,949
696,1535952,95
697,1535952,676
698,1392142,949
699,1392142,807
700,1392142,2118
701,1392142,497
702,548451,949
703,142157,949
704,142157,644
705,142157,4147
706,142157,8619
707,142157,11774
708,142157,44826
709,142157,49026
710,1629423,949
711,1629423,807
712,1629423,954
713,1629423,510
714,1629423,783
715,15178,949
716,2226,1213
717,2226,8055
718,2226,82693
719,491,11
720,491,329
721,491,424
722,491,771
723,491,284
724,491,819
725,491,601
726,491,1891
727,491,85
728,491,1892
729,491,89
730,491,578
731,491,857
732,491,87
733,491,1893
734,491,1924
735,491,772
736,491,840
737,491,879
738,491,2024
739,491,644
740,491,671
