id,name,department,job,profile_path
1395709,Mark Paterson,Sound,Sound Re-Recording Mixer,
1408384,Charlie Noble,Visual Effects,Visual Effects Supervisor,
1408855,Laura Miles,Visual Effects,Visual Effects Coordinator,
1551911,Alex Wuttke,Crew,CG Supervisor,
1557587,Nicholas Symons,Visual Effects,Animation,
6731,Anthony Hines,Writing,Screenplay,
6732,Peter Baynham,Writing,Screenplay,
6739,Erran Baron Cohen,Sound,Original Music Composer,
6740,Luke Geissbuhler,Camera,Director of Photography,
6741,Anthony Hardwick,Camera,Director of Photography,
6743,Jason Alper,Costume & Make-Up,Costume Design,
6744,David Maturana,Art,Art Direction,
6746,Jon Klein,Sound,Boom Operator,
6767,Larry Charles,Directing,Director,/fg42iXWfuIeRVk4NFNWvWJf4hst.jpg
